pokerId Ascore Bscore 
8314341589 2 2807
8000217553 2 1872
1601610307 2 2741
23438524297 1 30036
24912850213 1 33424
155775113 0 429572
105217680497 0 701256
9614565607 0 589129
550016687 0 693047
39770335 0 751322
49384578443 0 694026
45436358 0 744617
7033596107 1 39213
16020789107 2 2557
897344941 1 12514
722366453 0 477062
5473558123 0 646757
163954422347 2 2872
13398926377 1 38794
1647066515 0 755211
1753444069 1 19937
18230588507 1 33423
1305760426 0 755243
14153214763 0 693754
441470765 1 26944
3223529921 1 15652
4431896961 1 43854
293678735 2 3341
37888653 0 744152
554991703 1 30304
20558753141 1 39962
149824095011 0 701243
37027027553 1 39514
214066445 0 744407
2153632121 1 25952
38572446371 0 697384
1094814851 0 534887
52604410 1 50362
516346465 0 751579
40183214 1 33587
7494437311 0 701162
360350107 0 584822
1772983723 0 755253
629826357 1 40385
17781790867 0 700743
17196058 0 737402
846863403 0 751640
3004793153 1 25728
16439998493 0 646744
35284417171 0 646985
5487113693 1 41928
20604837 0 744137
36358718 0 754937
36560528153 1 33186
994845377 1 41447
7534794557 0 686554
60042686 1 40367
319057063 2 1392
657130171 1 16278
1000395431 1 23602
235085513 0 675947
4367624257 1 23058
2208247241 0 589112
11714665733 0 643368
43237826077 0 701224
643597603 0 689447
22873012549 0 642920
6913221689 0 694022
86302073 1 9304
310674089 0 483572
2052621269 1 19488
22099357757 1 43547
131072929 1 12692
17261736731 0 693545
120354639 1 16823
32595598423 0 701179
4828249067 0 700487
338955094 0 751878
11832548309 1 23104
4777464927 1 47214
12834699917 0 701012
53724214651 2 2143
6790260419 1 42363
1705628669 1 15395
425940595 2 2774
259686167 1 9769
5673614699 0 589128
1282150319 0 635912
27412284659 1 32960
226183798 0 751594
3452127233 0 697322
8915488933 1 43502
3705059053 0 683178
9272095 1 49817
175294311 0 754054
1230676015 1 40385
18217649831 1 23092
407134505 3 1569
2717472569 0 751852
5065492969 0 696888
21302178719 1 36842
6107445811 1 12999
22096851143 0 700519
787203157 0 645572
861010958 0 755451
19291505707 1 19987
16071914077 1 29570
10040064883 1 29359
859950679 1 30319
5553037073 0 538518
676333801 1 9608
12752782 1 49400
59357258 0 754488
40963805 1 13430
752212889 0 531062
4117406609 0 696677
45208219 0 740312
174037762931 3 2441
11268471121 0 697158
111589371191 1 30115
37176020159 1 33244
16965200047 0 697354
160924193 1 21197
5493438581 1 23058
2888599649 0 690362
192953674943 4 13
3264066011 0 700037
25910511877 0 646520
151848471 0 751382
7734402707 0 639753
155477811787 0 701258
12836495 1 50057
1011424027 0 581687
3294277 1 9963
19372111397 1 23345
228115771 1 19397
36715578421 2 2376
916158695 0 748235
8371935353 0 642679
83960553 0 733804
365062701 0 755208
204492338 2 2774
1258560413 1 45047
1612547101 0 693062
6763531361 0 643338
331500353 0 426197
275256021 1 40397
114367057 1 16760
634520255 1 43729
22672772597 1 26255
1118406421 2 2515
32572965 1 50091
153427680001 6 148
190686854 0 751579
297137161 2 1178
20083807417 1 29810
12727362 1 50330
46013636161 3 3048
1086883399 0 748248
4322540459 0 592053
4523514 1 50044
11625985303 1 39228
12785631049 1 19971
235995693 1 20211
197981879717 3 2457
13655632013 0 646773
175880287 1 21872
18167680001 1 39454
830792306 1 47150
4142977961 1 26193
17018942683 0 690409
1020084193 0 426438
4247720471 0 699813
361889047 1 9351
83757505 1 43697
5112311719 2 2083
3819221407 1 32702
721357049 0 754758
572355449 0 537572
1364434923 0 748267
4236900079 0 639527
5723265913 0 646053
75270886643 0 701015
1590808483 0 588887
13933222349 1 39903
35676699 0 747722
5506090637 1 25998
8613969 1 50312
2308052453 0 751879
3946642657 0 696888
43408559681 0 646536
137177537 0 747063
523228985 0 744409
16026538207 1 40143
1171634057 0 642872
214248142 0 751847
11789912593 0 642904
4943166749 1 23357
11436909 0 733787
1662068453 0 689897
15175898047 3 2329
3000529001 1 23072
2104357349 2 1422
3051627053 4 8
47943866647 0 700775
53198827181 0 697625
865367713 1 33649
149194126 1 20183
720166183 1 19442
